visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-10,mobile,B2B,Engagement,Click-Listing Tab PDP,51,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Payment Tab PDP,13,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Payment Tab PDP,28,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Payment Tab PDP,1,0,1,1
2022-07-10,mobile,SellerNet,Listing Management,Click-View In Website,1,0,1,1
2022-07-10,mobile,SellerNet,Listing Management,Click-View Statistics,1,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-More Actions LDP,511,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-More Actions LDP,14,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-More Actions LDP,4,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-More Listing SRP,87,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-More Listing SRP,52943,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-More Listing SRP,1017,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Click-More Listing SRP,2,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-More Listing SRP,154,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-More Listing SRP,3,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Review Video PDP,3,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Review Video PDP,1,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-Sort Listing SRP,8,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Sort Listing SRP,10,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-Sort Listing SRP,1919,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-Sort Listing SRP,6141,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-Sort Listing SRP,11,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-Sort Listing SRP,184,0,1,1
2022-07-10,mobile,LDP,Conversion,Lead-Request Call Back,257,0,1,1
2022-07-10,tablet,LDP,Conversion,Lead-Request Call Back,5,0,1,1
2022-07-10,desktop,LDP,Conversion,Lead-Request Call Back,43,0,1,1
2022-07-10,desktop,B2B,Conversion,Lead-Request More Info,2,0,1,1
2022-07-10,mobile,B2B,Conversion,Lead-Request More Info,9,0,1,1
2022-07-10,mobile,B2B,Engagement,Payment Calculated PDP,1330,0,1,1
2022-07-10,desktop,B2B,Engagement,Payment Calculated PDP,279,0,1,1
2022-07-10,desktop,B2B,Conversion,Click-Request More Info,5,0,1,1
2022-07-10,mobile,B2B,Conversion,Click-Request More Info,15,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-Search Suggestion,379,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Search Suggestion,4,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Search Suggestion,121,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-Search Suggestion,1251,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-Search Suggestion,192,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-Search Suggestion,21,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-Search Suggestion,1031,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-Search Suggestion,522,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Click-Search Suggestion,32,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Search Suggestion,4,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Search Suggestion,2,0,1,1
2022-07-10,mobile,Other Consumer Pages,Search,Click-Search button B2B,43,0,1,1
2022-07-10,mobile,B2B,Search,Click-Search button B2B,56,0,1,1
2022-07-10,mobile,SRP,Search,Click-Search button B2B,13,0,1,1
2022-07-10,desktop,Other Consumer Pages,Search,Click-Search button B2B,30,0,1,1
2022-07-10,mobile,LDP,Search,Click-Search button B2B,4,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Share Options PDP,3,0,1,1
2022-07-10,mobile,B2B,Engagement,Display - FAQ Title PDP,17,0,1,1
2022-07-10,desktop,B2B,Engagement,Display - FAQ Title PDP,8,0,1,1
2022-07-10,tablet,B2B,Engagement,Display-Listing Tab PDP,72,0,1,1
2022-07-10,mobile,B2B,Engagement,Display-Listing Tab PDP,875,0,1,1
2022-07-10,desktop,B2B,Engagement,Display-Listing Tab PDP,718,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PDP to Listing,61,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PDP to Listing,193,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PDP to Listing,7,0,1,1
2022-07-10,mobile,SellerNet,Listing Creation,Click-Address Suggestion,2,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Listing Direct PDP,47,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Listing Direct PDP,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Listing Direct PDP,13,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Project Review PDP,5,0,1,1
